Date,IBM_Close,TSMC_Close
4-Jan-16,135.95,22.09
5-Jan-16,135.85,21.95
6-Jan-16,135.17,21.34
7-Jan-16,132.86,21.1
8-Jan-16,131.63,20.81
11-Jan-16,133.23,20.93
12-Jan-16,132.9,20.75
13-Jan-16,131.17,20.48
14-Jan-16,132.91,21.82
15-Jan-16,130.03,21.1
19-Jan-16,128.11,21.66
20-Jan-16,121.86,21.09
21-Jan-16,122.91,21.33
22-Jan-16,122.5,21.93
25-Jan-16,122.08,21.79
26-Jan-16,122.59,21.59
27-Jan-16,120.96,21.68
28-Jan-16,122.22,21.63
29-Jan-16,124.79,22.35
1-Feb-16,124.83,22.46
2-Feb-16,122.94,22.56
3-Feb-16,124.72,22.92
4-Feb-16,127.65,23.23
5-Feb-16,128.57,22.75
8-Feb-16,126.98,22.8
9-Feb-16,124.07,22.56
10-Feb-16,120.19,22.3
11-Feb-16,117.85,22
12-Feb-16,121.04,22.24
16-Feb-16,122.74,23.34
17-Feb-16,126.1,23.64
18-Feb-16,132.45,23.8
19-Feb-16,133.08,23.78
22-Feb-16,133.77,23.96
23-Feb-16,132.4,23.4
24-Feb-16,132.8,23.42
25-Feb-16,134.5,23.69
26-Feb-16,132.03,23.77
29-Feb-16,131.03,23.55
1-Mar-16,134.37,24.58
2-Mar-16,136.3,24.62
3-Mar-16,137.8,24.56
4-Mar-16,137.8,24.65
7-Mar-16,140.15,24.7
8-Mar-16,139.07,24.65
9-Mar-16,140.41,24.74
10-Mar-16,140.19,24.74
11-Mar-16,142.36,25.35
14-Mar-16,142.78,25.22
15-Mar-16,142.96,24.88
16-Mar-16,144.79,25.78
17-Mar-16,147.04,25.77
18-Mar-16,147.09,26.04
21-Mar-16,148.63,25.93
22-Mar-16,148.1,25.81
23-Mar-16,145.4,25.68
24-Mar-16,147.95,25.73
28-Mar-16,148.4,25.63
29-Mar-16,149.33,25.97
30-Mar-16,148.41,26.46
31-Mar-16,151.45,26.2
1-Apr-16,152.52,26.12
4-Apr-16,152.07,25.85
5-Apr-16,150,25.51
6-Apr-16,150.02,25.62
7-Apr-16,148.25,25.37
8-Apr-16,149.35,25.28
11-Apr-16,149.25,25.51
12-Apr-16,149.63,25.57
13-Apr-16,151.23,26.17
14-Apr-16,151.16,25.3
15-Apr-16,151.72,25.46
18-Apr-16,152.53,25.5
19-Apr-16,144,25.16
20-Apr-16,146.11,25.12
21-Apr-16,149.3,25.16
22-Apr-16,148.5,25.07
25-Apr-16,148.81,25.01
26-Apr-16,149.08,25.01
27-Apr-16,150.47,25.25
28-Apr-16,147.07,24.16
29-Apr-16,145.94,23.59
2-May-16,145.27,23.69
3-May-16,144.13,23.32
4-May-16,144.25,23.42
5-May-16,146.47,23.5
6-May-16,147.29,23.41
9-May-16,147.34,23.37
10-May-16,149.97,23.39
11-May-16,148.95,23.22
12-May-16,148.84,22.99
13-May-16,147.72,22.82
16-May-16,149.46,23.11
17-May-16,148,22.95
18-May-16,147.34,23.52
19-May-16,144.93,23.25
20-May-16,147.25,23.91
23-May-16,146.77,24.27
24-May-16,148.31,24.47
25-May-16,151.69,24.62
26-May-16,152.44,24.79
27-May-16,152.84,24.8
31-May-16,153.74,24.72
1-Jun-16,152.51,25.25
2-Jun-16,153.5,25.18
3-Jun-16,152.89,25.53
6-Jun-16,152.73,25.47
7-Jun-16,153.33,26.06
8-Jun-16,154,26.33
9-Jun-16,153.42,26.23
10-Jun-16,152.37,25.86
13-Jun-16,151.28,25.63
14-Jun-16,151.06,25.57
15-Jun-16,150.68,25.84
16-Jun-16,151.06,25.86
17-Jun-16,151.99,25.85
20-Jun-16,153.61,26.37
21-Jun-16,154.05,26.59
22-Jun-16,152.92,26.54
23-Jun-16,155.35,26.81
24-Jun-16,146.59,25.68
27-Jun-16,143.5,24.9
28-Jun-16,145.7,25.26
29-Jun-16,148.46,25.8
30-Jun-16,151.78,26.23
1-Jul-16,152.35,26.53
5-Jul-16,151.68,26.26
6-Jul-16,152.37,26.15
7-Jul-16,152.6,26.31
8-Jul-16,154.46,26.73
11-Jul-16,155.33,27.2
12-Jul-16,157.04,26.97
13-Jul-16,158.02,26.89
14-Jul-16,160.28,27.11
15-Jul-16,159.78,27.01
18-Jul-16,159.86,27.64
19-Jul-16,159.58,27.27
20-Jul-16,161.36,27.55
21-Jul-16,160.45,27.48
22-Jul-16,162.07,27.74
25-Jul-16,162.65,27.86
26-Jul-16,162.12,28.33
27-Jul-16,161.83,28.1
28-Jul-16,161.37,28.14
29-Jul-16,160.62,27.78
1-Aug-16,161.45,28.62
2-Aug-16,160.58,28.16
3-Aug-16,160.67,28.16
4-Aug-16,161.55,28.4
5-Aug-16,163.5,28.79
8-Aug-16,162.04,29.09
9-Aug-16,161.77,29.4
10-Aug-16,162.08,29.22
11-Aug-16,163.53,29.14
12-Aug-16,161.95,29.24
15-Aug-16,161.88,29.39
16-Aug-16,160.7,29.08
17-Aug-16,160.44,28.98
18-Aug-16,161.36,29.16
19-Aug-16,160.04,28.64
22-Aug-16,160,28.4
23-Aug-16,160.26,28.5
24-Aug-16,159.05,28.39
25-Aug-16,158.63,28.6
26-Aug-16,158.32,28.64
29-Aug-16,159.72,28.7
30-Aug-16,159.4,28.62
31-Aug-16,158.88,28.74
1-Sep-16,159.54,28.96
2-Sep-16,159.55,29.14
6-Sep-16,160.35,29.49
7-Sep-16,161.64,29.82
8-Sep-16,159,29.79
9-Sep-16,155.69,28.59
12-Sep-16,158.29,28.99
13-Sep-16,155.81,28.49
14-Sep-16,154.05,28.62
15-Sep-16,155.66,29.18
16-Sep-16,153.84,28.91
19-Sep-16,154.87,29.93
20-Sep-16,154.45,29.9
21-Sep-16,155.53,30.5
22-Sep-16,156.11,30.66
23-Sep-16,154.98,30.12
26-Sep-16,153.98,29.84
27-Sep-16,156.77,30.4
28-Sep-16,158.29,30.33
29-Sep-16,158.11,30.4
30-Sep-16,158.85,30.59
3-Oct-16,157.61,30.72
4-Oct-16,156.46,30.39
5-Oct-16,157.08,30.53
6-Oct-16,156.88,30.77
7-Oct-16,155.67,31.18
10-Oct-16,157.02,31.28
11-Oct-16,154.79,30.73
12-Oct-16,154.29,31.35
13-Oct-16,153.72,30.53
14-Oct-16,154.45,30.66
17-Oct-16,154.77,30.57
18-Oct-16,150.72,30.86
19-Oct-16,151.26,30.98
20-Oct-16,151.52,31.06
21-Oct-16,149.63,31.08
24-Oct-16,150.57,31.41
25-Oct-16,150.88,31.55
26-Oct-16,151.81,31.21
27-Oct-16,153.35,30.77
28-Oct-16,152.61,30.77
31-Oct-16,153.69,31.1
1-Nov-16,152.79,30.71
2-Nov-16,151.95,30.39
3-Nov-16,152.37,30.28
4-Nov-16,152.43,30.24
7-Nov-16,155.72,31.35
8-Nov-16,155.17,31.34
9-Nov-16,154.81,30.59
10-Nov-16,160.22,29.44
11-Nov-16,161.27,29.93
14-Nov-16,158.21,28.85
15-Nov-16,158.67,29.2
16-Nov-16,159.29,29.86
17-Nov-16,159.8,29.47
18-Nov-16,160.39,29.47
21-Nov-16,162.77,29.65
22-Nov-16,162.67,29.91
23-Nov-16,161.98,29.89
25-Nov-16,163.14,29.66
28-Nov-16,164.52,29.66
29-Nov-16,163.53,29.55
30-Nov-16,162.22,29.69
1-Dec-16,159.82,28.55
2-Dec-16,160.02,28.86
5-Dec-16,159.84,29.02
6-Dec-16,160.35,29.51
7-Dec-16,164.79,29.93
8-Dec-16,165.36,30.04
9-Dec-16,166.52,30.12
12-Dec-16,165.5,29.9
13-Dec-16,168.29,30.36
14-Dec-16,168.51,29.87
15-Dec-16,168.02,30.16
16-Dec-16,166.73,29.48
19-Dec-16,166.68,29.27
20-Dec-16,167.6,29.31
21-Dec-16,167.33,29.14
22-Dec-16,167.06,28.74
23-Dec-16,166.71,29.05
27-Dec-16,167.14,29.1
28-Dec-16,166.19,29.12
29-Dec-16,166.6,29.13
30-Dec-16,165.99,28.75
3-Jan-17,167.19,29.31
4-Jan-17,169.26,29.3
5-Jan-17,168.7,29.8
6-Jan-17,169.53,29.63
9-Jan-17,167.65,30.04
10-Jan-17,165.52,30.07
11-Jan-17,167.75,30.17
12-Jan-17,167.95,29.29
13-Jan-17,167.34,29.44
17-Jan-17,167.89,29.62
18-Jan-17,166.8,29.49
19-Jan-17,166.81,29.63
20-Jan-17,170.55,30.07
23-Jan-17,171.03,30.33
24-Jan-17,175.9,30.82
25-Jan-17,178.29,31.31
26-Jan-17,178.66,31.11
27-Jan-17,177.3,31.25
30-Jan-17,175.8,31.19
31-Jan-17,174.52,30.91
1-Feb-17,174.29,31.08
2-Feb-17,174.58,30.78
3-Feb-17,175.82,30.97
6-Feb-17,175.86,30.87
7-Feb-17,178.46,30.52
8-Feb-17,176.17,30.33
9-Feb-17,177.21,30.21
10-Feb-17,178.68,30.71
13-Feb-17,179.36,31.69
14-Feb-17,180.13,31.33
15-Feb-17,181.68,31.75
16-Feb-17,181.43,32.32
17-Feb-17,180.67,32.34
21-Feb-17,180.26,32.33
22-Feb-17,181.15,32.07
23-Feb-17,181.65,31.75
24-Feb-17,181.35,31.92
27-Feb-17,179.4,31.53
28-Feb-17,179.82,31.47
1-Mar-17,181.95,31.58
